source_name,start_time,lat,lon,ch4,co2,n2o,pop_max
OMV Burghausen Refinery,2016-01-01,48.19254,12.84201,42.71608946,931727.1056,8.157339494,0.2288018840318735
OMV Burghausen Refinery,2017-01-01,48.19254,12.84201,41.96298401,915300.3031,8.013521627,0.2247679954200367
OMV Burghausen Refinery,2018-01-01,48.19254,12.84201,39.44851766,860454.5416,7.533342942,0.21129965958764532
OMV Burghausen Refinery,2019-01-01,48.19254,12.84201,39.69619671,865856.9388,7.580641328,0.21262631269263632
OMV Burghausen Refinery,2020-01-01,48.19254,12.84201,44.80739163,977342.7727,8.556708022,0.2400036087762982
OMV Burghausen Refinery,2021-01-01,48.19254,12.84201,43.71421098,953498.22,8.347947205,0.2341481618875399
OMV Burghausen Refinery,2022-01-01,48.19254,12.84201,46.20966418,1007929.265,8.824495018,0.2475146568311466
PCK Raffinerie GmbH Schwedt Refinery,2015-01-01,53.09652,14.2352,106.6183236,2148291.992,20.88925258,0.5275506661402279
PCK Raffinerie GmbH Schwedt Refinery,2016-01-01,53.09652,14.2352,107.1960483,2159932.781,21.00244361,0.530409265443403
PCK Raffinerie GmbH Schwedt Refinery,2017-01-01,53.09652,14.2352,105.3061298,2121852.114,20.6321603,0.5210578917392115
PCK Raffinerie GmbH Schwedt Refinery,2018-01-01,53.09652,14.2352,98.99607519,1994708.493,19.39585945,0.4898355522230705
PCK Raffinerie GmbH Schwedt Refinery,2019-01-01,53.09652,14.2352,99.61762589,2007232.348,19.5176371,0.49291100382485337
PCK Raffinerie GmbH Schwedt Refinery,2020-01-01,53.09652,14.2352,112.4441722,2265679.168,22.0306851,0.5563771399742002
PCK Raffinerie GmbH Schwedt Refinery,2021-01-01,53.09652,14.2352,109.7008348,2210402.649,21.49319524,0.5428030241049628
PCK Raffinerie GmbH Schwedt Refinery,2022-01-01,53.09652,14.2352,115.9631759,2336584.873,22.7201478,0.57378927577566
Ruhr Oel Gelsenkirchen Horst Refinery,2015-01-01,51.59666,7.024988,161.4463229,3521481.414,30.83082937,0.8647613418819334
Ruhr Oel Gelsenkirchen Horst Refinery,2016-01-01,51.59666,7.024988,162.32114,3540563.001,30.99789008,0.8694471592523604
Ruhr Oel Gelsenkirchen Horst Refinery,2017-01-01,51.59666,7.024988,159.4593392,3478141.152,30.45138218,0.8541183826501643
Ruhr Oel Gelsenkirchen Horst Refinery,2018-01-01,51.59666,7.024988,149.9043671,3269727.258,28.62670318,0.8029387064134068
Ruhr Oel Gelsenkirchen Horst Refinery,2019-01-01,51.59666,7.024988,150.8455475,3290256.367,28.80643705,0.8079799881239683
Ruhr Oel Gelsenkirchen Horst Refinery,2020-01-01,51.59666,7.024988,170.2680882,3713902.536,32.51549048,0.9120137132860856
Ruhr Oel Gelsenkirchen Horst Refinery,2021-01-01,51.59666,7.024988,166.1140017,3623293.236,31.72219938,0.8897630151726517
Ruhr Oel Gelsenkirchen Horst Refinery,2022-01-01,51.59666,7.024988,175.5967239,3830131.207,33.53308107,0.9405556959583571
Shell Rheinland Werk Wesseling Cologne Refinery,2015-01-01,50.8608,6.98656,97.11057015,2118184.309,18.54485977,0.5201571980820047
Shell Rheinland Werk Wesseling Cologne Refinery,2016-01-01,50.8608,6.98656,97.63677592,2129661.956,18.64534742,0.522975735014191
Shell Rheinland Werk Wesseling Cologne Refinery,2017-01-01,50.8608,6.98656,95.91539202,2092114.978,18.31662086,0.5137554179766491
Shell Rheinland Werk Wesseling Cologne Refinery,2018-01-01,50.8608,6.98656,90.16804036,1966753.238,17.21906958,0.48297065050007887
Shell Rheinland Werk Wesseling Cologne Refinery,2019-01-01,50.8608,6.98656,90.7341639,1979101.574,17.32718018,0.4860030003420846
Shell Rheinland Werk Wesseling Cologne Refinery,2020-01-01,50.8608,6.98656,102.4168952,2233926.338,19.55818976,0.5485796773011944
Shell Rheinland Werk Wesseling Cologne Refinery,2021-01-01,50.8608,6.98656,99.91819652,2179424.503,19.08102218,0.5351957986351723
Shell Rheinland Werk Wesseling Cologne Refinery,2022-01-01,50.8608,6.98656,105.6220896,2303838.32,20.17027433,0.5657477870426207
Total Raffinerie Mitteldeutschland Spergau Refinery,2015-01-01,51.28805,11.99325,137.7756214,3005173.989,26.3105198,0.7379730249277194
Total Raffinerie Mitteldeutschland Spergau Refinery,2016-01-01,51.28805,11.99325,138.5221758,3021457.9,26.45308665,0.741971824032966
Total Raffinerie Mitteldeutschland Spergau Refinery,2017-01-01,51.28805,11.99325,136.0799624,2968188.126,25.98670585,0.7288904994907298
Total Raffinerie Mitteldeutschland Spergau Refinery,2018-01-01,51.28805,11.99325,127.9259073,2790331.156,24.42955497,0.6852146102956903
Total Raffinerie Mitteldeutschland Spergau Refinery,2019-01-01,51.28805,11.99325,128.729095,2807850.359,24.58293688,0.6895167569532737
Total Raffinerie Mitteldeutschland Spergau Refinery,2020-01-01,51.28805,11.99325,145.30397,3169382.991,27.74818173,0.7782974169162932
